6人レジスタンス
end
似非原,ほげほげ,dolpen,shake,yudai214,yudai214,コル子11,3122,necro,necro,かなだ,canada
necro,コル子11
6
end
4
necro




かなだ,success,yudai214,success,dolpen,success,似非原,success

registance,registance,registance

system,message,red,dolpenさんは、【信任】に投票しました。,1332515535
system,message,red,似非原さんは、【信任】に投票しました。,1332515535
yudai214,say,black,２黒m9(＾Д＾)ﾌﾟｷﾞｬｰってやりたいなー,1332515535
necro,say,green,コル子さんに乗った,1332515533
似非原,say,olive,そういえば、黒2とか見たこと無いな、これ作ってからw,1332515519
コル子11,say,black,トラップな気がする,1332515511
似非原,say,olive,確かに、チーム分けをどうするかってところがポイントだね,1332515494
dolpen,say,black,これ、2白確定と見たいけど、トラップかなぁ。,1332515485
system,warning,red,yudai214さんは、【似非原、dolpen、yudai214、かなだ】を、チームとして選びました。,1332515470
似非原,say,olive,スパイ側は詰むね,1332515464
yudai214,say,black,チームわけこそがゲームで、黒が白だすかはどうでもいいかん,1332515456
yudai214,say,black,これ、実際に白３が白３だったら詰んでるね。,1332515438
似非原,say,olive,今回は4人選択だから大変,1332515436
似非原,say,olive,まあ、逆に黒が出ると一気にぶちこわしになるw,1332515416
dolpen,say,black,おおっよいではないか,1332515391
yudai214,say,black,わかんないけどねｗ,1332515386
necro,say,green,dolpenさんに乗っかったつもりだったのにｗ,1332515386
コル子11,say,black,うーん、ここで白だしておけば安心という穴にはまりそうだ,1332515385
かなだ,say,black,お、これは白確定かな・・・？,1332515383
似非原,say,olive,いい調子なのでは,1332515383
yudai214,say,black,necroさん、黒っぽいね,1332515377
似非原,say,olive,おおおお,1332515376
かなだ,say,black,すでに心理戦が始まってるｗ,1332515367
system,warning,red,【yudai214】が、リーダーとして選出されました。,1332515365
system,warning,red,このミッションは【成功】しました。,1332515365
yudai214,say,black,まぁ、もし入ってたら１黒だろうね。1/3って情報量ないし。,1332515360
necro,say,green,僕だけかーｗ,1332515356
似非原,say,olive,おやおや、怪しいですねw,1332515348
system,warning,red,【似非原】が選んだチーム(似非原、yudai214、かなだ)は信任されました。,1332515335
system,message,red,かなださんは、【信任】に投票しました。,1332515335
system,message,red,necroさんは、【不信任】に投票しました。,1332515335
